127.0.0.1 - - [22/Sep/2021:19:28:42 +0900] "GET / HTTP/1.1" 404 901
0:0:0:0:0:0:0:1 - - [22/Sep/2021:19:28:44 +0900] "GET /AuthenticationProject/index.html HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [22/Sep/2021:19:29:19 +0900] "GET /AuthenticationProject/menu1.html HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [22/Sep/2021:19:29:53 +0900] "GET /AuthenticationProject/menu2.html HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [22/Sep/2021:19:30:31 +0900] "POST /AuthenticationProject/j_security_check HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [22/Sep/2021:19:31:00 +0900] "GET /AuthenticationProject/menu2.html HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - t0001 [22/Sep/2021:19:31:18 +0900] "POST /AuthenticationProject/j_security_check HTTP/1.1" 303 -
0:0:0:0:0:0:0:1 - t0001 [22/Sep/2021:19:31:18 +0900] "GET /AuthenticationProject/menu2.html HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - t0001 [22/Sep/2021:19:31:26 +0900] "GET /AuthenticationProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - t0001 [22/Sep/2021:19:31:49 +0900] "GET /AuthenticationProject/Menu3Servlet HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - t0001 [22/Sep/2021:19:31:58 +0900] "GET /AuthenticationProject/logout.jsp HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [22/Sep/2021:19:32:14 +0900] "GET /AuthenticationProject/Menu3Servlet HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [22/Sep/2021:19:32:47 +0900] "POST /AuthenticationProject/j_security_check HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [22/Sep/2021:19:33:00 +0900] "GET /AuthenticationProject/menu2.html HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - s0001 [22/Sep/2021:19:33:12 +0900] "POST /AuthenticationProject/j_security_check HTTP/1.1" 303 -
0:0:0:0:0:0:0:1 - s0001 [22/Sep/2021:19:33:12 +0900] "GET /AuthenticationProject/menu2.html HTTP/1.1" 403 748
0:0:0:0:0:0:0:1 - - [22/Sep/2021:19:33:45 +0900] "GET /AuthenticationProject/menu2.html HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - s0001 [22/Sep/2021:19:34:00 +0900] "POST /AuthenticationProject/j_security_check HTTP/1.1" 303 -
0:0:0:0:0:0:0:1 - s0001 [22/Sep/2021:19:34:00 +0900] "GET /AuthenticationProject/menu2.html HTTP/1.1" 403 748
0:0:0:0:0:0:0:1 - s0001 [22/Sep/2021:19:34:45 +0900] "GET /AuthenticationProject/login.jsp HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - s0001 [22/Sep/2021:19:35:15 +0900] "POST /AuthenticationProject/j_security_check HTTP/1.1" 404 943
